package,version,license,license_source,review
cloud.google.com/go/compute/metadata,v0.3.0,Apache-2.0,https://github.com/googleapis/google-cloud-go/blob/compute/metadata/v0.3.0/compute/metadata/LICENSE,go-licenses v2.0.1
fyne.io/systray,v1.12.0,Apache-2.0,https://github.com/fyne-io/systray/blob/v1.12.0/LICENSE,go-licenses v2.0.1 plus manual non-Go header check
git.sr.ht/~jackmordaunt/go-toast/v2,v2.0.3,MIT AND Unlicense,https://git.sr.ht/~jackmordaunt/go-toast/tree/v2.0.3/LICENSE,go-licenses v2.0.1 reported both license texts
github.com/danieljoos/wincred,v1.2.3,MIT,https://github.com/danieljoos/wincred/blob/v1.2.3/LICENSE,go-licenses v2.0.1
github.com/fsnotify/fsnotify,v1.9.0,BSD-3-Clause,https://github.com/fsnotify/fsnotify/blob/v1.9.0/LICENSE,go-licenses v2.0.1
github.com/go-ole/go-ole,v1.3.0,MIT,https://github.com/go-ole/go-ole/blob/v1.3.0/LICENSE,go-licenses v2.0.1
github.com/godbus/dbus/v5,v5.2.2,BSD-2-Clause,https://github.com/godbus/dbus/blob/v5.2.2/LICENSE,go-licenses v2.0.1
github.com/leaanthony/go-ansi-parser,v1.6.1,MIT,https://github.com/leaanthony/go-ansi-parser/blob/v1.6.1/LICENSE,go-licenses v2.0.1
github.com/leaanthony/slicer,v1.6.0,MIT,https://github.com/leaanthony/slicer/blob/v1.6.0/LICENSE,go-licenses v2.0.1
github.com/leaanthony/u,v1.1.1,MIT,https://github.com/leaanthony/u/blob/v1.1.1/LICENSE,go-licenses v2.0.1
github.com/marcfargas/go-mapi/app,0.1.0-beta,LGPL-3.0-or-later,../../LICENSE,repository root module
github.com/marcfargas/go-mapi/internal/mapi,local,LGPL-3.0-or-later,../../LICENSE,repository root module and preserved upstream history
github.com/pkg/browser,5ac0b6a4141c,BSD-2-Clause,https://github.com/pkg/browser/blob/5ac0b6a4141c/LICENSE,go-licenses v2.0.1
github.com/pkg/errors,v0.9.1,BSD-2-Clause,https://github.com/pkg/errors/blob/v0.9.1/LICENSE,go-licenses v2.0.1
github.com/rivo/uniseg,v0.4.7,MIT,https://github.com/rivo/uniseg/blob/v0.4.7/LICENSE.txt,go-licenses v2.0.1
github.com/wailsapp/go-webview2/pkg/combridge,v1.0.22+local,MIT,../../src/app/vendor/go-webview2-e2e/LICENSE,local replacement manually checked
github.com/wailsapp/go-webview2/webviewloader,v1.0.22+local,ISC,../../src/app/vendor/go-webview2-e2e/webviewloader/LICENSE,local replacement manually checked
github.com/wailsapp/wails/v2,v2.12.0,MIT,https://github.com/wailsapp/wails/blob/v2.12.0/v2/LICENSE,go-licenses v2.0.1
github.com/wailsapp/wails/v2/internal/frontend/desktop/windows/winc/w32,v2.12.0,MIT,https://github.com/wailsapp/wails/blob/v2.12.0/v2/internal/frontend/desktop/windows/winc/LICENSE,go-licenses v2.0.1
github.com/zalando/go-keyring,v0.2.8,MIT,https://github.com/zalando/go-keyring/blob/v0.2.8/LICENSE,go-licenses v2.0.1
golang.org/x/oauth2,v0.36.0,BSD-3-Clause,https://cs.opensource.google/go/x/oauth2/+/v0.36.0:LICENSE,go-licenses v2.0.1
golang.org/x/sys/windows,v0.39.0,BSD-3-Clause,https://cs.opensource.google/go/x/sys/+/v0.39.0:LICENSE,go-licenses v2.0.1
