package,version,license,source
@astrojs/check,0.9.10,MIT,website/package-lock.json
@astrojs/compiler,2.13.1,MIT,website/package-lock.json
@astrojs/compiler-binding,0.4.0,MIT,website/package-lock.json
@astrojs/compiler-binding-darwin-arm64,0.4.0,MIT,website/package-lock.json
@astrojs/compiler-binding-darwin-x64,0.4.0,MIT,website/package-lock.json
@astrojs/compiler-binding-linux-arm64-gnu,0.4.0,MIT,website/package-lock.json
@astrojs/compiler-binding-linux-arm64-musl,0.4.0,MIT,website/package-lock.json
@astrojs/compiler-binding-linux-x64-gnu,0.4.0,MIT,website/package-lock.json
@astrojs/compiler-binding-linux-x64-musl,0.4.0,MIT,website/package-lock.json
@astrojs/compiler-binding-wasm32-wasi,0.4.0,MIT,website/package-lock.json
@astrojs/compiler-binding-win32-arm64-msvc,0.4.0,MIT,website/package-lock.json
@astrojs/compiler-binding-win32-x64-msvc,0.4.0,MIT,website/package-lock.json
@astrojs/compiler-rs,0.4.0,MIT,website/package-lock.json
@astrojs/internal-helpers,0.10.4,MIT,website/package-lock.json
@astrojs/language-server,2.16.15,MIT,website/package-lock.json
@astrojs/markdown-satteri,0.3.8,MIT,website/package-lock.json
@astrojs/prism,4.0.2,MIT,website/package-lock.json
@astrojs/telemetry,3.3.3,MIT,website/package-lock.json
@astrojs/yaml2ts,0.2.4,MIT,website/package-lock.json
@axe-core/playwright,4.13.0,MPL-2.0,website/package-lock.json
@babel/helper-string-parser,7.29.7,MIT,website/package-lock.json
@babel/helper-validator-identifier,7.29.7,MIT,website/package-lock.json
@babel/parser,7.29.8,MIT,website/package-lock.json
@babel/types,7.29.8,MIT,website/package-lock.json
@bruits/satteri-darwin-arm64,0.10.5,MIT,website/package-lock.json
@bruits/satteri-darwin-x64,0.10.5,MIT,website/package-lock.json
@bruits/satteri-linux-arm64-gnu,0.10.5,MIT,website/package-lock.json
@bruits/satteri-linux-arm64-musl,0.10.5,MIT,website/package-lock.json
@bruits/satteri-linux-x64-gnu,0.10.5,MIT,website/package-lock.json
@bruits/satteri-linux-x64-musl,0.10.5,MIT,website/package-lock.json
@bruits/satteri-wasm32-wasi,0.10.5,MIT,website/package-lock.json
@bruits/satteri-win32-arm64-msvc,0.10.5,MIT,website/package-lock.json
@bruits/satteri-win32-x64-msvc,0.10.5,MIT,website/package-lock.json
@capsizecss/unpack,4.0.1,MIT,website/package-lock.json
@clack/core,1.4.3,MIT,website/package-lock.json
@clack/prompts,1.7.0,MIT,website/package-lock.json
@cloudflare/kv-asset-handler,0.5.0,MIT OR Apache-2.0,website/package-lock.json
@cloudflare/unenv-preset,2.16.1,MIT OR Apache-2.0,website/package-lock.json
@cloudflare/workerd-darwin-64,1.20260831.1,Apache-2.0,website/package-lock.json
@cloudflare/workerd-darwin-arm64,1.20260831.1,Apache-2.0,website/package-lock.json
@cloudflare/workerd-linux-64,1.20260831.1,Apache-2.0,website/package-lock.json
@cloudflare/workerd-linux-arm64,1.20260831.1,Apache-2.0,website/package-lock.json
@cloudflare/workerd-windows-64,1.20260831.1,Apache-2.0,website/package-lock.json
@cloudflare/workers-types,5.20260903.1,MIT OR Apache-2.0,website/package-lock.json
