package,version,license,source
@acemir/cssom,0.9.31,MIT,package-lock.json
@adobe/css-tools,4.4.4,MIT,package-lock.json
@asamuzakjp/css-color,4.1.2,MIT,package-lock.json
@asamuzakjp/dom-selector,6.8.1,MIT,package-lock.json
@asamuzakjp/nwsapi,2.3.9,MIT,package-lock.json
@babel/code-frame,7.28.6,MIT,package-lock.json
@babel/helper-validator-identifier,7.28.5,MIT,package-lock.json
@babel/runtime,7.28.6,MIT,package-lock.json
@changesets/apply-release-plan,7.1.0,MIT,package-lock.json
@changesets/assemble-release-plan,6.0.9,MIT,package-lock.json
@changesets/changelog-git,0.2.1,MIT,package-lock.json
@changesets/cli,2.30.0,MIT,package-lock.json
@changesets/config,3.1.3,MIT,package-lock.json
@changesets/errors,0.2.0,MIT,package-lock.json
@changesets/get-dependents-graph,2.1.3,MIT,package-lock.json
@changesets/get-release-plan,4.0.15,MIT,package-lock.json
@changesets/get-version-range-type,0.4.0,MIT,package-lock.json
@changesets/git,3.0.4,MIT,package-lock.json
@changesets/logger,0.1.1,MIT,package-lock.json
@changesets/parse,0.4.3,MIT,package-lock.json
@changesets/pre,2.0.2,MIT,package-lock.json
@changesets/read,0.6.7,MIT,package-lock.json
@changesets/should-skip-package,0.1.2,MIT,package-lock.json
@changesets/types,4.1.0,MIT,package-lock.json
@changesets/types,6.1.0,MIT,package-lock.json
@changesets/write,0.4.0,MIT,package-lock.json
@csstools/color-helpers,6.1.1,MIT-0,package-lock.json
@csstools/css-calc,3.3.0,MIT,package-lock.json
@csstools/css-color-parser,4.2.1,MIT,package-lock.json
@csstools/css-parser-algorithms,4.0.0,MIT,package-lock.json
@csstools/css-syntax-patches-for-csstree,1.1.9,MIT-0,package-lock.json
@csstools/css-tokenizer,4.0.0,MIT,package-lock.json
@esbuild/aix-ppc64,0.28.2,MIT,package-lock.json
@esbuild/android-arm,0.28.2,MIT,package-lock.json
@esbuild/android-arm64,0.28.2,MIT,package-lock.json
@esbuild/android-x64,0.28.2,MIT,package-lock.json
